name,month,temperature_2m
's-Gravenzande,1,6.080107526881721
's-Gravenzande,2,6.8879464285714285
's-Gravenzande,3,7.44005376344086
's-Gravenzande,4,9.543472222222222
's-Gravenzande,5,13.411290322580646
's-Gravenzande,6,16.353472222222223
's-Gravenzande,7,18.607526881720432
's-Gravenzande,8,20.151747311827958
's-Gravenzande,9,15.777083333333334
's-Gravenzande,10,14.278494623655915
's-Gravenzande,11,9.589583333333334
's-Gravenzande,12,4.747715053763441
's-Hertogenbosch,1,4.59502688172043
's-Hertogenbosch,2,6.324553571428572
's-Hertogenbosch,3,7.171774193548387
's-Hertogenbosch,4,9.464583333333334
's-Hertogenbosch,5,14.772043010752688
's-Hertogenbosch,6,17.343194444444446
's-Hertogenbosch,7,18.857526881720432
's-Hertogenbosch,8,20.575806451612902
's-Hertogenbosch,9,14.944583333333334
's-Hertogenbosch,10,13.611021505376344
's-Hertogenbosch,11,8.76236111111111
's-Hertogenbosch,12,3.7881720430107526
Aalsmeer,1,5.472849462365591
Aalsmeer,2,6.624702380952381
Aalsmeer,3,7.05994623655914
Aalsmeer,4,9.123611111111112
Aalsmeer,5,13.431854838709677
Aalsmeer,6,16.2825
Aalsmeer,7,18.11733870967742
Aalsmeer,8,19.68239247311828
Aalsmeer,9,14.935
Aalsmeer,10,13.487096774193548
Aalsmeer,11,8.645
Aalsmeer,12,3.860483870967742
Aalten,1,4.271908602150538
Aalten,2,5.951934523809523
Aalten,3,6.911962365591398
Aalten,4,9.056527777777777
Aalten,5,14.933602150537634
Aalten,6,17.547916666666666
Aalten,7,18.928629032258065
Aalten,8,20.80497311827957
Aalten,9,14.819722222222223
Aalten,10,13.501612903225807
Aalten,11,8.477222222222222
Aalten,12,3.6905913978494627
Aarau,1,1.2076612903225807
Aarau,2,4.105505952380953
Aarau,3,6.138306451612903
Aarau,4,9.143194444444445
Aarau,5,16.153629032258063
Aarau,6,19.995833333333334
Aarau,7,21.61451612903226
Aarau,8,21.084408602150535
Aarau,9,14.576527777777779
Aarau,10,13.562903225806451
Aarau,11,6.956666666666667
Aarau,12,2.2551075268817202
Adliswil,1,1.5911290322580645
Adliswil,2,4.184523809523809
Adliswil,3,6.460483870967742
Adliswil,4,8.858888888888888
Adliswil,5,15.83252688172043
Adliswil,6,19.72375
Adliswil,7,21.31935483870968
Adliswil,8,20.740053763440862
Adliswil,9,14.870972222222223
Adliswil,10,14.356048387096774
Adliswil,11,7.594861111111111
Adliswil,12,2.4673387096774193
Alblasserdam,1,5.10241935483871
Alblasserdam,2,6.609077380952381
Alblasserdam,3,7.408333333333333
Alblasserdam,4,9.468055555555555
Alblasserdam,5,14.130510752688172
Alblasserdam,6,16.891666666666666
Alblasserdam,7,18.675940860215054
Alblasserdam,8,20.19516129032258
Alblasserdam,9,15.147361111111111
Alblasserdam,10,13.678897849462366
Alblasserdam,11,8.816527777777777
Alblasserdam,12,3.8693548387096777
Alkmaar,1,6.177822580645161
Alkmaar,2,6.681547619047619
Alkmaar,3,6.927016129032258
Alkmaar,4,8.880972222222223
Alkmaar,5,12.790456989247312
Alkmaar,6,15.755
Alkmaar,7,17.77782258064516
Alkmaar,8,19.450537634408605
Alkmaar,9,15.35
Alkmaar,10,13.89744623655914
Alkmaar,11,9.333333333333334
Alkmaar,12,4.475134408602151
Allschwil,1,1.985483870967742
Allschwil,2,5.097767857142857
Allschwil,3,6.977822580645161
Allschwil,4,9.729722222222222
Allschwil,5,16.59166666666667
Allschwil,6,20.445138888888888
Allschwil,7,22.038306451612904
Allschwil,8,21.821774193548386
Allschwil,9,15.225277777777778
Allschwil,10,14.6502688172043
Allschwil,11,8.029444444444444
Allschwil,12,3.4221774193548384
Almelo,1,4.502284946236559
Almelo,2,5.9087797619047615
Almelo,3,6.408467741935484
Almelo,4,8.766805555555557
Almelo,5,14.473118279569892
Almelo,6,16.933611111111112
Almelo,7,18.478629032258066
Almelo,8,20.204435483870967
Almelo,9,14.490277777777777
Almelo,10,13.169489247311828
Almelo,11,8.19513888888889
Almelo,12,3.567204301075269
Almere Stad,1,5.229838709677419
Almere Stad,2,6.502232142857143
Almere Stad,3,6.989516129032258
Almere Stad,4,9.360277777777778
Almere Stad,5,13.76505376344086
Almere Stad,6,16.55777777777778
Almere Stad,7,18.50215053763441
Almere Stad,8,20.25725806451613
Almere Stad,9,15.11263888888889
Almere Stad,10,13.415322580645162
Almere Stad,11,8.606527777777778
Almere Stad,12,3.8600806451612906
Alphen aan den Rijn,1,5.414784946236559
Alphen aan den Rijn,2,6.626488095238095
Alphen aan den Rijn,3,7.054301075268817
Alphen aan den Rijn,4,9.095277777777778
Alphen aan den Rijn,5,13.468145161290321
Alphen aan den Rijn,6,16.375555555555554
Alphen aan den Rijn,7,18.157123655913978
Alphen aan den Rijn,8,19.63225806451613
Alphen aan den Rijn,9,14.899861111111111
Alphen aan den Rijn,10,13.480376344086022
Alphen aan den Rijn,11,8.575694444444444
Alphen aan den Rijn,12,3.7471774193548386
Amersfoort,1,4.806586021505376
Amersfoort,2,6.288541666666666
Amersfoort,3,6.726612903225807
Amersfoort,4,8.991944444444444
Amersfoort,5,14.020430107526883
Amersfoort,6,16.794166666666666
Amersfoort,7,18.406182795698925
Amersfoort,8,20.309811827956988
Amersfoort,9,14.824444444444445
Amersfoort,10,13.306854838709677
Amersfoort,11,8.520972222222223
Amersfoort,12,3.713306451612903
Amstelveen,1,5.450537634408602
Amstelveen,2,6.597172619047619
Amstelveen,3,7.032930107526882
Amstelveen,4,9.096805555555555
Amstelveen,5,13.405913978494624
Amstelveen,6,16.26097222222222
Amstelveen,7,18.089112903225807
Amstelveen,8,19.65766129032258
Amstelveen,9,14.911805555555556
Amstelveen,10,13.465860215053764
Amstelveen,11,8.618472222222222
Amstelveen,12,3.8326612903225805
Amsterdam,1,5.45483870967742
Amsterdam,2,6.515327380952381
Amsterdam,3,6.902284946236559
Amsterdam,4,8.976111111111111
Amsterdam,5,13.225403225806453
Amsterdam,6,16.120416666666667
Amsterdam,7,17.901478494623657
Amsterdam,8,19.46989247311828
Amsterdam,9,14.68375
Amsterdam,10,13.27271505376344
Amsterdam,11,8.445416666666667
Amsterdam,12,3.6684139784946237
Amsterdam-Zuidoost,1,5.28736559139785
Amsterdam-Zuidoost,2,6.512648809523809
Amsterdam-Zuidoost,3,6.988709677419355
Amsterdam-Zuidoost,4,9.164166666666667
Amsterdam-Zuidoost,5,13.473790322580646
Amsterdam-Zuidoost,6,16.325555555555557
Amsterdam-Zuidoost,7,18.156989247311827
Amsterdam-Zuidoost,8,19.794892473118278
